participant,item,condition,besasp,mono,bi,heritage,besasp_total,heritage_
H017,9,second,1,5,5,1,10,yes
H017,10,second,1,5,5,1,10,yes
H018,1,first,1,2,3,1,6,yes
H018,2,first,1,2,3,1,6,yes
H018,3,first,0,2,3,1,6,yes
H018,4,first,1,2,3,1,6,yes
H018,5,first,0,2,3,1,6,yes
H018,6,second,1,2,3,1,6,yes
H018,7,second,0,2,3,1,6,yes
H018,8,second,1,2,3,1,6,yes
H018,9,second,0,2,3,1,6,yes
H018,10,second,1,2,3,1,6,yes
